id,title,company,location,source,link,published,status,status_date,summary
CBMiWkFVX3lxTE9WS2FwbmM3UnJfNlppbU51MGZacHRuOXlmakp0UDlxdHRrUWNSWmhTNEppQm5tNWdMZnowcC1qZjlUSGhKSFdqc2M0ZXR4UUZ4dVZ5bFE5aXlEdw,Software Engineer,"Dynamics Scientific, Inc.",Not specified,LinkedIn | Software Engineer,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9WS2FwbmM3UnJfNlppbU51MGZacHRuOXlmakp0UDlxdHRrUWNSWmhTNEppQm5tNWdMZnowcC1qZjlUSGhKSFdqc2M0ZXR4UUZ4dVZ5bFE5aXlEdw?oc=5,2026-09-20 10:29 UTC,new,,"Dynamics Scientific, Inc. hiring Software Engineer in Dubai, United Arab Emirates LinkedIn"
CBMif0FVX3lxTE9LYk9TT0FGLUlucnNuQk1LNmZENGpQN0FSSFlucGszUU9TU1ZCTVIzSjg0MkNUQVpHUmZicFNaT1Y0QmhvNDhTaW1FazlSeFk4YTUwYUdtWDUtdkQ4VjVKVnR1WlZQemw2c0lCaTN0UlhZcUl6QVRnNlRBZjNhZXM,"10,000+ Caterpillar Inc. Software Engineer jobs in India - LinkedIn India",Unknown,Not specified,LinkedIn | Software Engineer,https://news.google.com/rss/articles/CBMif0FVX3lxTE9LYk9TT0FGLUlucnNuQk1LNmZENGpQN0FSSFlucGszUU9TU1ZCTVIzSjg0MkNUQVpHUmZicFNaT1Y0QmhvNDhTaW1FazlSeFk4YTUwYUdtWDUtdkQ4VjVKVnR1WlZQemw2c0lCaTN0UlhZcUl6QVRnNlRBZjNhZXM?oc=5,2026-09-20 08:11 UTC,new,,"10,000+ Caterpillar Inc. Software Engineer jobs in India LinkedIn India"
CBMijwFBVV95cUxOYUdoV0dRR3huQTc0VG0xWUU4dXJBdVRHSDdlTXlPVVA2VU5DWi1oeE9kcHpTYlI0TGhFQUpPOGtGZ0wxa3cwQjk4MDZHZ0NtcGs2Vk82bzhtS2M4dWNoRzRwWUh3clFxQmNFb0Z4TUpXczBvYzExUTJjd042WnVyR3QwQ0ktR3RiY2diT2E3Zw,180 Capgemini Engineering Software Engineer jobs in Bengaluru - LinkedIn India,Unknown,Not specified,LinkedIn | Software Engineer,https://news.google.com/rss/articles/CBMijwFBVV95cUxOYUdoV0dRR3huQTc0VG0xWUU4dXJBdVRHSDdlTXlPVVA2VU5DWi1oeE9kcHpTYlI0TGhFQUpPOGtGZ0wxa3cwQjk4MDZHZ0NtcGs2Vk82bzhtS2M4dWNoRzRwWUh3clFxQmNFb0Z4TUpXczBvYzExUTJjd042WnVyR3QwQ0ktR3RiY2diT2E3Zw?oc=5,2026-09-20 08:11 UTC,new,,180 Capgemini Engineering Software Engineer jobs in Bengaluru LinkedIn India
CBMihwFBVV95cUxOWWZnQkxHZUhicmlvb0dHbGVBcFNhY1Y3WUZXVFZxYWF0TWtTMUMwNDdFY2RTSENaUGZxcGkzNjZhYVFGVlJtQWNOaU1ubVN5bjFDU2k1a1lkanR6VHZaQlR5YmUzSFlMTTBzdm5SU2pTbHZESHY2MTVPVzFqSW82NXA2T3RTTlk,"8,000+ Agoda Software Engineer jobs in Greater Bengaluru Area - LinkedIn India",Unknown,Not specified,LinkedIn | Software Engineer,https://news.google.com/rss/articles/CBMihwFBVV95cUxOWWZnQkxHZUhicmlvb0dHbGVBcFNhY1Y3WUZXVFZxYWF0TWtTMUMwNDdFY2RTSENaUGZxcGkzNjZhYVFGVlJtQWNOaU1ubVN5bjFDU2k1a1lkanR6VHZaQlR5YmUzSFlMTTBzdm5SU2pTbHZESHY2MTVPVzFqSW82NXA2T3RTTlk?oc=5,2026-09-20 08:11 UTC,new,,"8,000+ Agoda Software Engineer jobs in Greater Bengaluru Area LinkedIn India"
datadog-developer-advocate-service-management-emea,Developer Advocate - Service Management EMEA,Datadog,Remote,WWR | All,https://weworkremotely.com/remote-jobs/datadog-developer-advocate-service-management-emea,2026-09-20 07:31 UTC,new,,"Headquarters: France, Remote; Portugal, Remote; Spain, Remote; The Netherlands, Remote We are a team of engineers that translate our real-world experience to help our user communities solve problems. With a focus on service management, helping teams respond to incidents, run on-call, and automate their operations, you will work with practitioners and leaders across the industry and broaden your impact to the SRE, Engineer, DevOps, and Operations community at large. This is a unique opportunity to use both your engineering and creative storytelling skills to shape the landscape in cloud observability, incident response and service management. What You'll Do: Act as a subject matter expert for service management (incident response, on-call, IDP, Work Management, Workflow Automation, Agent Builder, and operational automation) for Datadog's advocacy and engineering teams Create content in one or more mediums to build Datadog's reputation as a leader in DevOps, Monitoring, Observability and Security e.g. building demos, public speaking, blogging, documentation, webinars, open source, research reports and more Partner with product engineering teams to build compelling demos, and coach internal engineering teams on effective communication and presentation Interface with open source communities to drive key messaging in the market and develop new integrations for Datadog Contribute to the product through feedback (bugs or product enhancements suggestions), documentation, or code Who You Are: Approximately 5+ years of experience as a Platform Engineer, Site Reliability Engineer, DevOps Engineer or Software Developer with hands-on experience as an on-call/incident responder and running production systems in complex IT environments You have a strong understanding of core service-management practices (incident response, on-call, post incident reviews, and SLOs), using tools like Datadog, PagerDuty, Opsgenie, http://incident.io , Rootly, Jira Cloud Platform, Cortex, or similar and know how to navigate operational challenges of different sized organizations You’re passionate about helping teams fix organizational challenges, not just technical ones and where they intersect, and have shared your knowledge broadly. Approximately 2+ years of experience in storytelling and creating compelling content e.g. written content, speaking at conferences like SREcon, DevOpsDays or SREday, leading workshops, live streaming or recording videos, contributing to open source and participating in community events. You have publicly available writing samples, blog posts, demos, or recordings of presentations on technical topics You are comfortable with at least one scripting and programming languages (eg Node.js, Python, Go, bash) and are familiar with working with APIs and modern infrastructure such as IaaS cloud services and containers You enjoy self driven exploration and education on new technologies and languages Bonus points: You have hands-on ITSM platform experience (ServiceNow, Jira Service Management) You are already an active member of SRE, DevOps, or incident-response communities Datadog values people from all walks of life. We understand not everyone will meet all the above qualifications on day one. That's okay. If you’re passionate about technology and want to grow your skills, we encourage you to apply. #LI-Remote About Datadog: Datadog is the leading observability and security platform for the AI era, providing businesses with unified visibility across the technology stack to manage complexity at scale. It brings applications, infrastructure, data, models, and security into one place, using AI to detect and resolve issues before they impact customers. Trusted globally by Fortune 500 companies and high-growth AI leaders, Datadog enables businesses to move faster with clarity and confidence. Learn more about #DatadogLife on Instagram , LinkedIn, and Datadog Learning Center. Equal Opportunity at Datadog: Datadog is proud to offer equal employment opportunity to everyone regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, veteran status, and other characteristics protected by law. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. Here are our Candidate Legal Notices for your reference. Datadog endeavors to make our Careers Page accessible to all users. If you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please complete this form . This form is for accommodation requests only and cannot be used to inquire about the status of applications. Privacy and AI Guidelines: Any information you submit to Datadog as part of your application will be processed in accordance with Datadog’s Applicant and Candidate Privacy Notice . For information on our AI policy, please visit Interviewing at Datadog AI Guidelines . To apply: https://weworkremotely.com/remote-jobs/datadog-developer-advocate-service-management-emea"
CBMijAFBVV95cUxPSDc5V0JwbXNJQmZKOXp5Y0tPREVmdG1CbHFSY1BpS1RIdE9WWFRRUE1rbHJZUmpJR0Zta1FDM0g3cEgwdzcyVVdRcXRPdmRmbXF6X2dEZTJaMndMMTNBYTc3NkhzWmxsOXcydl9rYWFKSDhhejVtSk5HRmo4RG53SFdhZ1NPNmphelhUNQ,Frontend Engineer Remote,YO AI Labs,Not specified,LinkedIn | Software Engineer,https://news.google.com/rss/articles/CBMijAFBVV95cUxPSDc5V0JwbXNJQmZKOXp5Y0tPREVmdG1CbHFSY1BpS1RIdE9WWFRRUE1rbHJZUmpJR0Zta1FDM0g3cEgwdzcyVVdRcXRPdmRmbXF6X2dEZTJaMndMMTNBYTc3NkhzWmxsOXcydl9rYWFKSDhhejVtSk5HRmo4RG53SFdhZ1NPNmphelhUNQ?oc=5,2026-09-20 03:09 UTC,new,,"YO AI Labs hiring Frontend Engineer Remote in Houston, TX LinkedIn"
CBMiwgFBVV95cUxQU3RiREFTNkpKNThiNF9HN0FFWC1LNDRfODc0V3JZckxtOThaYUpXa1NzdEt2eFl2T3d2ZDNQeURPX3E3UU9zekp3LS0xSGVkSDRzbXlKLU5GWW1UYmRYN2E0V1NGcVZENHk3OHpYMXd2Y1M1Ym9ISHg3UWZmcUVzdzBLWGNmaWJCeDlHUzE4VEZhbTIzaC04clptWmV2VjdlRjZQbVNmZGdwcWcxeFczQUZRaTRCb2ViUHNfeGZxV0Vndw,Software Development Engineer I / IIGET – Full Stack Developer - LinkedIn India,Unknown,Not specified,LinkedIn | Software Engineer,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQU3RiREFTNkpKNThiNF9HN0FFWC1LNDRfODc0V3JZckxtOThaYUpXa1NzdEt2eFl2T3d2ZDNQeURPX3E3UU9zekp3LS0xSGVkSDRzbXlKLU5GWW1UYmRYN2E0V1NGcVZENHk3OHpYMXd2Y1M1Ym9ISHg3UWZmcUVzdzBLWGNmaWJCeDlHUzE4VEZhbTIzaC04clptWmV2VjdlRjZQbVNmZGdwcWcxeFczQUZRaTRCb2ViUHNfeGZxV0Vndw?oc=5,2026-09-19 08:45 UTC,new,,Software Development Engineer I / IIGET – Full Stack Developer LinkedIn India
circleci-software-engineer,Software Engineer,CircleCI,Remote,WWR | All,https://weworkremotely.com/remote-jobs/circleci-software-engineer,2026-09-19 07:31 UTC,new,,"Headquarters: Ontario, Canada (Remote) About CircleCI Engineering CI/CD has been solved. Now it's being reinvented. AI agents don't just run pipelines. They write code, trigger builds, interpret failures, and propose fixes. The interfaces that developers use to understand and trust that work don't exist yet. We're building them. At CircleCI, our guiding principles aren't posters on a wall. We learn fast: we run experiments, accept failure, and scale what works. We think like the customer: every decision connects back to the developer sitting in front of a failing build at 2 am. We own the outcome: not just our slice of it, but the whole thing. If that's how you already work, you'll fit here. Team-Agnostic Placement We don't hire for a team. We hire for CircleCI. Where you land depends on where your strengths create the most leverage, and we figure that out together. You might own the CI pipeline experience, deploy and release tooling, notification infrastructure, monetization flows, AI agent surfaces, or the foundational web platform. The through line across all of it is the same: full-stack ownership, a high bar for craft, and work that directly shapes how tens of thousands of developers experience CircleCI every day. What You'll Do Build AI-natively. AI is how we work. It’s not a productivity layer on top of engineering, but the default starting point for how problems get approached and solved. Invent new interfaces . Software delivery is being reinvented. Pipelines run autonomously, generate fixes, and surface results that need human judgment. The tools developers use to understand, trust, and act on that work don't exist yet. You'll define what they look like. Own the full stack. Build features end-to-end in Go, React, and TypeScript. You don't hand off at a layer boundary. You own the outcome. Obsess over craft. Reliability and responsiveness are design concerns, not afterthoughts. Care about how the interface holds up when stakes are high. Champion observability. Use Honeycomb, Datadog, and Rollbar to understand and improve your systems. Operational data drives stability, not just incident response. Pick up slack. You'll notice gaps and close them — not because you were asked, but because that's the standard we hold ourselves to. What You'll Bring AI-native engineering practices. You use AI tools daily and can speak to what you've built, where they changed your approach, and where they fall short. A track record of shipping. You've built something real and put it in front of users. 3+ years of production full-stack experience. Full-stack depth. Strong React and TypeScript. Comfortable owning backend services in Go: API design, data modeling, service integration. System design. You think about architecture, not just features. You make conscious tradeoffs and document your reasoning. Production mindset. Latency, responsiveness, and reliability are design concerns. You're comfortable operating services in a distributed environment. Sound like you? You've stopped waiting for AI to mature and are already building with it, not as a productivity trick, but as a core part of how you think about problems. You care about the product as much as the code. You're drawn to work where the patterns don't exist yet and the best answer requires you to invent it. If that's how you already operate, we want to talk. Canada Base Pay Range $127,000 — $159,000 CAD We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation. About CircleCI CircleCI is the world’s largest continuous integration/continuous delivery (CI/CD) platform, and the hub where code moves from idea to delivery. As one of the most-used DevOps tools - processing more than 3 million jobs a day - CircleCI has unique access to data on how the most effective engineering teams work, and the tools to help software companies successfully leverage the power of AI into their commercial applications. Companies like Hinge, HuggingFace, and Samsung use us to improve engineering team productivity, release better products, and get to market faster. Founded in 2011 and headquartered in downtown San Francisco with a global, remote workforce, CircleCI is venture-backed by Base10, Greenspring Associates, Eleven Prime, IVP, Sapphire Ventures, Top Tier Capital Partners, Baseline Ventures, Threshold Ventures, Scale Venture Partners, Owl Rock Capital, Next Equity Partners, Heavybit, and Harrison Metal Capital. CircleCI is an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. To apply: https://weworkremotely.com/remote-jobs/circleci-software-engineer"
CBMisAFBVV95cUxOc2xGdi14b0lxT21KdkpGVW8waHljYXliQlh4QkZORXl2S0xOMGhiX3dLT1p0cTJlX1BFR2VKUGFpQ2FjZTZHZU9GemFQTlNrbHRMcGZvRkFwZkxpaWZ1MTBWVW9mOWREMnp6N0VGQ09DUW1FUHBUZVNDLVJ6MVg0b3pROHdDd211WV9KUHdldFIwem1YWUR3dzRESjRNSmZPaDU3LUE4WklibnBlSXl6aQ,Software Development Engineer (SDE) – Full Stack,Steps AI,Not specified,LinkedIn | Software Engineer,https://news.google.com/rss/articles/CBMisAFBVV95cUxOc2xGdi14b0lxT21KdkpGVW8waHljYXliQlh4QkZORXl2S0xOMGhiX3dLT1p0cTJlX1BFR2VKUGFpQ2FjZTZHZU9GemFQTlNrbHRMcGZvRkFwZkxpaWZ1MTBWVW9mOWREMnp6N0VGQ09DUW1FUHBUZVNDLVJ6MVg0b3pROHdDd211WV9KUHdldFIwem1YWUR3dzRESjRNSmZPaDU3LUE4WklibnBlSXl6aQ?oc=5,2026-09-19 02:29 UTC,new,,"Steps AI hiring Software Development Engineer (SDE) – Full Stack in Hyderabad, Telangana, India LinkedIn India"
CBMingFBVV95cUxNQ3FrOVNKTWtqeDlENXIyamdLcTJIUUF0UldGUE5IdXdpTUpwd3l3Znd1akJQUDZYYkFSQUZTUjVqSi1GbGFJVVg4THRTLVZ6aGt1cEp0cmh1Qi1VZ3V1MU9XTm9jTlNmNWNhdW9SUDl5RkV1V3k1M2JvU2dNaGZIVUEyZ2pJeThCcnN6WmJock9CRXgyT29DT2xMM1d5UQ,Software Engineer - Agentic AI and Backend,Steps AI,Not specified,LinkedIn | Software Engineer,https://news.google.com/rss/articles/CBMingFBVV95cUxNQ3FrOVNKTWtqeDlENXIyamdLcTJIUUF0UldGUE5IdXdpTUpwd3l3Znd1akJQUDZYYkFSQUZTUjVqSi1GbGFJVVg4THRTLVZ6aGt1cEp0cmh1Qi1VZ3V1MU9XTm9jTlNmNWNhdW9SUDl5RkV1V3k1M2JvU2dNaGZIVUEyZ2pJeThCcnN6WmJock9CRXgyT29DT2xMM1d5UQ?oc=5,2026-09-19 02:07 UTC,new,,"Steps AI hiring Software Engineer - Agentic AI and Backend in Hyderabad, Telangana, India LinkedIn India"
